Timestamp,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyroscope_X,Gyroscope_Y,Gyroscope_Z,Magnetometer_X,Magnetometer_Y,Magnetometer_Z,Abs_Pressure,Temperature
87622847,-0.3121376753433278,0.0165396551895709,-9.793374955038185,-0.016944970210734954,0.024632471851384896,-1.7758010381403617,206726.6875,63780.37109375,319216.28125,1010.0392456054688,45.39665985107422
87633530,-0.052771341858678156,0.13471471474653196,-9.811666428426857,-0.015604731833283057,0.02294089389530446,-1.7574492448511772,206726.6875,63780.37109375,319216.28125,1010.0392456054688,45.39665985107422
87642951,-0.05728980606632739,0.1507252375889392,-9.820903717855568,-0.013933241573814502,0.021935590780651826,-1.6670108789148979,206726.6875,63780.37109375,319216.28125,1010.0392456054688,45.39665985107422
87653145,-0.09441762870388537,0.13086947010045957,-9.811974465231057,-0.013365551104489913,0.02029349585560586,-1.5536203139963798,206726.6875,63780.37109375,319216.28125,1010.0392456054688,45.39665985107422
87663252,0.006374332250780768,0.1091861794996829,-9.817447602132912,-0.012736384963337531,0.018679655394828576,-1.44660971104533,206726.6875,63780.37109375,319216.28125,1010.0392456054688,45.39665985107422
87672983,0.20765470260543317,0.0579607258844943,-9.810857712606545,-0.013899720480386367,0.017211732692396897,-1.3789508098307304,206726.6875,63780.37109375,319216.28125,1010.0392456054688,45.39665985107422
87683164,0.22807482177180738,-0.004169054765644553,-9.805960594991799,-0.016380264630262008,0.016855453378832597,-1.417345499390667,206726.6875,63780.37109375,319216.28125,1010.0392456054688,45.39665985107422
87692943,0.2319134337885691,-0.062101172718507236,-9.804878263631982,-0.017026494038541996,0.018405612666593844,-1.502784143748903,197074.703125,78523.546875,325816.28125,1010.075927734375,45.40256881713867
87703103,0.22487250101402534,-0.08746817192743439,-9.803959875265283,-0.01656651568158456,0.0184889194708932,-1.5397200692326065,197074.703125,78523.546875,325816.28125,1010.075927734375,45.40256881713867
87713170,0.03965979572966827,-0.11007044042210001,-9.804479627767725,-0.014523271252651893,0.018922513459311778,-1.4362524855762955,197074.703125,78523.546875,325816.28125,1010.075927734375,45.40256881713867
87722929,-0.13439136612579095,-0.09784233054826874,-9.81192973152749,-0.011287759770889961,0.018904760588394458,-1.2852230179935928,197074.703125,78523.546875,325816.28125,1010.075927734375,45.40256881713867
87733580,-0.18939688670799004,-0.10636291137645859,-9.821681051412744,-0.010418453966518127,0.020006774101840312,-1.2283206093937393,197074.703125,78523.546875,325816.28125,1010.075927734375,45.40256881713867
87742892,-0.1533147977606939,-0.1266472497650506,-9.819608717123193,-0.01142182179286071,0.02026661496280318,-1.279093991580629,197074.703125,78523.546875,325816.28125,1010.075927734375,45.40256881713867
87753131,-0.0800774382369207,-0.12117963036737311,-9.811223058859033,-0.012881252696057045,0.021118447293030078,-1.3894519913822647,197074.703125,78523.546875,325816.28125,1010.075927734375,45.40256881713867
87763161,0.08002751393359286,-0.015469978067380374,-9.806754141012354,-0.012179014985700332,0.02065682422040587,-1.443651686969423,197074.703125,78523.546875,325816.28125,1010.075927734375,45.40256881713867
87772902,0.16847750675514472,0.07375366756011825,-9.80526640907876,-0.01015381493165084,0.019084194783555324,-1.3696133006245133,197074.703125,78523.546875,325816.28125,1010.075927734375,45.40256881713867
87783154,0.04012828078702224,0.06959853836585861,-9.819098501363916,-0.008650274728675567,0.017360128570782,-1.271774302783632,197074.703125,78523.546875,325816.28125,1010.075927734375,45.40256881713867
87792928,-0.10316013701020754,0.05604909080885001,-9.821077363156883,-0.0073607276352523725,0.018232515164680933,-1.2412229089226816,183074.0,104827.921875,327766.28125,1010.0377807617188,45.39826965332031
87803106,-0.1895983607298044,0.02377631980798789,-9.808346764707176,-0.006031691205727951,0.019973825746245837,-1.2618040351357553,183074.0,104827.921875,327766.28125,1010.0377807617188,45.39826965332031
87813183,-0.23663238592206515,0.011350882238369664,-9.806751267575828,-0.006268588469403879,0.022483820178575968,-1.372554829546461,183074.0,104827.921875,327766.28125,1010.0377807617188,45.39826965332031
87822949,-0.28510297246037997,0.037006837314587315,-9.81768418993911,-0.006821931914466516,0.024645902299352145,-1.5351781157937143,183074.0,104827.921875,327766.28125,1010.0377807617188,45.39826965332031
